제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
000001398221,심리학에게 묻다 :Phychology .[1],하혜숙,한국방송통신대학교출판문화원(KNOU Press),2020,9788920037443,1,7
000001280279,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,제임스 클리어 지음,비즈니스북스,2019,9791162540640,1,7
000001727376,악의,히가시노 게이고 지음,현대문학,2019,9788972750031,8,7
000001301478,여수의 사랑 :한강 소설집,한강 지음,문학과지성사,2018,9788932034812,8,7
000001677395,여행의 이유,김영하 지음,복복서가,2024,9791191114591,8,7
000001729189,영원한 천국 :정유정 장편소설,정유정 지음,은행나무,2024,9791167374561,8,7
000001728546,"예술 도둑 :예술, 범죄, 사랑 그리고 욕망에 관한 위험하고 매혹적인 이야기",마이클 핀클 지음,생각의힘,2024,9791193166659,8,7
000001737956,왜 그들만 부자가 되는가 :부의 격차를 좁히는 진짜 돈의 모습,필립 바구스,북모먼트 : 책읽어주는남자,2025,9791193937396,3,7
000001486960,왜 일하는가 :지금 당신이 가장 뜨겁게 물어야 할 첫 번째 질문,이나모리 가즈오 지음,다산북스,2021,9791130637037,3,7
000001724899,우연은 비켜 가지 않는다 :줄리언 반스 장편소설,줄리언 반스 지음,다산책방 : 다산북스,2024,9791130655925,8,7
000001656024,"월급쟁이로 살 때는 미처 몰랐던 것들 :파이어족 2년이 가르쳐준 부와 자본주의, 그리고 나 자신에 대한 작은 깨달음",최성락 지음,월요일의꿈,2024,9791192044439,3,7
000001732115,일의 감각 =Work and sense,조수용 지음,Reference by B: B미디어컴퍼니,2024,9791193383193,3,7
000001318318,잊기 좋은 이름 :김애란 산문,김애란 [지음],열림원,2019,9791170400011,8,7
000001627644,저주토끼 :정보라 소설집 =Cursed bunny,정보라 지음,래빗홀 : 인플루엔셜,2023,9791168340947,8,7
000001509166,죽이고 싶은 아이 :이꽃님 장편소설,이꽃님 지음,우리학교,2021,9791167550170,8,7
000000821139,직업으로서의 소설가 :무라카미 하루키 자전적 에세이,무라카미 하루키 지음,현대문학,2016,9788972757719,8,7
000001562872,파친코 :이민진 장편소설 .1,이민진 지음,인플루엔셜,2022,9791168340510,8,7
000000918558,해바라기가 피지 않는 여름,미치오 슈스케 지음,들녘,2014,9788975270062,8,7
000001754910,헌등사,다와다 요코 지음,민음사,2024,9788937464522,8,7
000001739029,환율의 대전환 :경제 질서의 변곡점에서 글로벌 통화의 미래를 말하다,오건영 지음,포레스트북스,2025,9791194530107,3,7
000001717018,(The) money book :잘 살아갈 우리를 위한 금융생활 안내서,토스 엮음,비바리퍼블리카,2024,9791198686114,3,6
000001556888,(보도 섀퍼의) 돈,보도 섀퍼 지음,에포케,2022,9788919205013,3,6
