한글 이름,영문 이름,제품 설명,제품 영양 정보,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
민트 블렌드 티,Mint Blend Brewed Tea,"스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",Tall(톨) /355ml,0,0,0,0,0,0,0,0,0,0
아이스 민트 블렌드 티,Iced Mint Blend Brewed Tea,"스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",Tall(톨) /355ml,0,0,0,0,0,0,0,0,0,0
아이스 얼 그레이 티,Iced Earl Grey Brewed Tea,꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티,Tall(톨) /355ml,0,0,0,0,0,0,0,50,0,0
아이스 유스베리 티,Iced Youthberry™Brewed Tea,"제주산 찻잎으로 만든 황차에 사과, 망고, 파인애플, 히비스커스, 로즈힙 등이블렌딩되어 핑크빛 컬러가 감도는 수색과 베리류의 새콤함을 느낄 수 있는 옐로우 티",Tall(톨) /355ml,0,0,0,0,0,0,0,20,0,0
아이스 유자 민트 티,Iced Yuja Mint Tea,달콤한 국내산 고흥 유자와 알싸하고 은은한 진저와 상쾌한 민트 티가 조화로운 유자 민트 티,Tall(톨) /355ml,95,0,0,0,0,5,22,0,0,26
아이스 잉글리쉬 브렉퍼스트 티,Iced English Breakfast Brewed Tea,"인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티",Tall(톨) /355ml,0,0,0,0,0,0,0,40,0,0
아이스 제주 유기농 녹차로 만든 티,Iced Jeju Green Tea,유기농 녹차 티백만을 100%(물 제외) 사용한 티로맑은 수색과 고유의 풍미가 뛰어난 녹차,Tall(톨) /355ml,0,0,0,0,0,0,0,16,0,0
아이스 제주팔삭 & 자몽 허니 블랙 티,Iced Jeju Hassaku Orange & Grapefruit Honey Black Tea,제주의 자몽이라는 별명을 가진 팔삭과 마누카꿀로자몽과 블랙티의 맛을 더욱 고급스럽게 즐길 수 있는 음료,Tall(톨) /355ml,140,0,0,0,0,5,38,27,0,38
아이스 캐모마일 블렌드 티,Iced Chamomile Blend Brewed Tea,"캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어은은하고 차분한 향이 기분을 좋게하는 허브 티",Tall(톨) /355ml,0,0,0,0,0,0,0,0,0,0
아이스 히비스커스 블렌드 티,Iced Hibiscus Blend Brewed Tea,"히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티",Tall(톨) /355ml,0,0,0,0,0,0,0,0,0,0
얼 그레이 티,Earl Grey Brewed Tea,꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티,Tall(톨) /355ml,0,0,0,0,0,0,0,70,0,0
유스베리 티,Youthberry™Brewed Tea,"제주산 찻잎으로 만든 황차에 사과, 망고, 파인애플, 히비스커스, 로즈힙 등이블렌딩되어 핑크빛 컬러가 감도는 수색과 베리류의 새콤함을 느낄 수 있는 옐로우 티",Tall(톨) /355ml,0,0,0,0,0,0,0,20,0,0
유자 민트 티,Yuja Mint Tea,"달콤한 국내산 고흥 유자와 알싸하고 은은한 진저,우릴 수록 상쾌한 민트 티가 조화로운 유자 민트 티",Tall(톨) /355ml,140,0,0,0,0,10,33,0,0,40
잉글리쉬 브렉퍼스트 티,English Breakfast Brewed Tea,"인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티",Tall(톨) /355ml,0,0,0,0,0,0,0,70,0,0
자몽 허니 블랙 티,Grapefruit Honey Black Tea,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화,Tall(톨) /355ml,125,0,0,0,0,5,30,70,0,31
제주 유기농 녹차로 만든 티,Jeju Green Tea,유기농 녹차 티백만을 100%(물 제외) 사용한 티로맑은 수색과 고유의 풍미가 뛰어난 녹차,Tall(톨) /355ml,0,0,0,0,0,0,0,16,0,0
제주팔삭 & 자몽 허니 블랙 티,Jeju Hassaku Orange & Grapefruit Honey Black Tea,제주의 자몽이라는 별명을 가진 팔삭과 마누카꿀로자몽과 블랙티의 맛을 더욱 고급스럽게 즐길 수 있는 음료,Tall(톨) /355ml,140,0,0,0,0,5,38,70,0,38
캐모마일 블렌드 티,Chamomile Blend Brewed Tea,"캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어은은하고 차분한 향이 기분을 좋게하는 허브 티",Tall(톨) /355ml,0,0,0,0,0,0,0,0,0,0
히비스커스 블렌드 티,Hibiscus Blend Brewed Tea,"히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티",Tall(톨) /355ml,0,0,0,0,0,0,0,0,0,0
레드 파워 패션 티,Red Power Passion Tea,딸기와 복숭아의 화사함에 패션 탱고티의 산뜻함을 더해한 모금 마시면 두근거리는 열정이 다시 떠오르는 리프레싱 티 음료,Grande(그란데) /473ml,190,0,1,0,0,40,31,33,0,46
레몬 캐모마일 블렌드 티,Lemon Chamomile Blend Tea,상큼한 레몬에 캐모마일이은은하게 감도는 무카페인 티,,130,0,0,0,0,10,30,0,0,32
복숭아 아이스 티,Iced Peach Black Tea,"찻잎을 직접 우려 만든 상큼하고 청량한 아이스 티로,복숭아의 진한 맛과 홍차의 조화가 매력적인 음료*트렌타 사이즈는 Iced Only로 제공됩니다.",Trenta(트렌타) /887ml,255,0,1,1,0,75,34,70,0,76
복숭아 아이스 티,Iced Peach Black Tea,"찻잎을 직접 우려 만든 상큼하고 청량한 아이스 티로,복숭아의 진한 맛과 홍차의 조화가 매력적인 음료*Hot Tea로도 즐기실 수 있습니다.",Tall(톨) /355ml,110,0,0,0.3,0,35,15,30,0,32
복숭아 핫 티,Peach Black Tea,"찻잎을 직접 우려 만든 따뜻한 티로,복숭아와 진한 홍차의 풍미를 느낄 수 있는 음료",Tall(톨) /355ml,160,0,0,0.3,0,50,21,70,0,44
시트러스 가든 민트 티,Citrus Garden Mint Tea,"유자, 청자몽이 어우러진 민트 티에 머들링한 신선한 민트가 더해져 상큼하면서도 상쾌한 풍미가 산뜻하게 느껴지는 논 카페인 티 음료",Tall(톨) /355ml,140,0,0,0,0,5,32,0,0,29
아이스 레몬 캐모마일 블렌드 티,Iced Lemon Chamomile Blend Tea,상큼한 레몬에 캐모마일이은은하게 감도는 무카페인 티,,130,0,0,0,0,10,30,0,0,32
아이스 자몽 허니 블랙 티,Iced Grapefruit Honey Black Tea,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화,Tall(톨) /355ml,125,0,0,0,0,5,30,30,0,31
아이스 자몽 허니 블랙 티,Iced Grapefruit Honey Black Tea,새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화.,Trenta(트렌타) /887ml,345,0,1,0,0,10,79,75,0,82
말차 글레이즈드 티 라떼,Malcha Glazed Tea Latte,글레이즈드의 색다른 변신!쌉싸름한 말차와 달콤한 글레이즈드를 넣어가을과 잘 어울리는 비주얼과 맛의 티 라떼 음료,Tall(톨) /355ml,315,11,10,16,0,170,29,65,30,33
말차 티라미수 라떼,Malcha Tiramisu Latte,달콤 쌉싸름한 말차크림으로 부드럽게 즐길 수 있는디저트 타입의 말차 티라미수 음료,,415,15,11,22,0,230,39,75,35,42
스타벅스 클래식 밀크 티,Starbucks Classic Milk Tea,"스타벅스가 선보이는 클래식한 밀크 티로,진하게 오래 우려낸 티바나 블랙 티의 깊은 풍미와우유의 조화로움을 담아낸 '맛'에 집중한 밀크 티",Tall(톨) /355ml,299,13,5,17,0,80,31,190,15,33
스타벅스 클래식 밀크 티 보틀,Starbucks Classic Milk Tea Bottle,"진하게 우려낸 블랙 티의 깊은 풍미와우유의 조화로움을 담아낸 클래식 밀크 티를전용 보틀과 함께, 언제 어디서나,편하게 즐겨보세요.(전용 보틀 / 500ml)",,485,21,7,27,0,130,51,195,25,54
아이스 말차 글레이즈드 티 라떼,Iced Malcha Glazed Tea Latte,글레이즈드의 색다른 변신!쌉싸름한 말차와 달콤한 글레이즈드를 넣어가을과 잘 어울리는 비주얼과 맛의 티 라떼 음료,Tall(톨) /355ml,270,10,8,14,0,140,26,65,25,29
아이스 말차 티라미수 라떼,Iced Malcha Tiramisu Latte,달콤 쌉싸름한 말차크림으로 부드럽게 즐길 수 있는디저트 타입의 말차 티라미수 음료,,355,13,8,19,0,180,34,75,25,37
아이스 스타벅스 클래식 밀크 티,Iced Starbucks Classic Milk Tea,"스타벅스가 선보이는 클래식한 밀크 티로,진하게 오래 우려낸 티바나 블랙 티의 깊은 풍미와우유의 조화로움을 담아낸 '맛'에 집중한 밀크 티",Tall(톨) /355ml,198,9,3,11,0,50,21,80,10,22
아이스 얼 그레이 바닐라 티 라떼,Iced Earl Grey Vanilla Tea Latte,"2가지 티(블랙티, 얼 그레이 티)가 조화롭고 얼 그레이 폼과 바닐라의 풍미가 은은하게 퍼져 깔끔하고 부드러운 티 라떼 음료",Tall(톨) /355ml,270,12,6,16,0,100,21,29,25,26
아이스 의암호의 보랏빛 라벤더 티 라떼,Iced Uiamho's Purple Lavender Tea Latte,춘천의암호의 낭만적인 밤하늘의 보랏빛을 표현한 음료로 차분한 느낌의 라벤더를 활용하여 릴렉스 할 수 있는 티 라떼 음료,,290,7,4,10,0,80,33,13,15,46
아이스 인절미 제주 말차 라떼,Iced Injeolmi Jeju Malcha Latte,제주의 특산물인 말차와 한국의 전통적인 소재인 인절미 가루 (콩가루)를 활용한 음료로 고소한 티 라떼 음료 (제주산:말차),,353,11,9,17,0,170,34,52,20,35
아이스 제주 말차 라떼,Iced Jeju Malcha Latte,차광재배한 어린 녹찻잎을 곱게 갈아깊고 진한 말차 본연의 맛과 향을부드럽게 즐길 수 있는 제주 말차 라떼,Tall(톨) /355ml,155,3.6,6,6,0,95,16,60,20,18
아이스 프렌치 바닐라 말차 라떼,Iced French Vanilla Malcha Latte,번트 슈가의 풍미가 더해진 프렌치 바닐라 크림과 말차가 어우러진 음료,Tall(톨) /355ml,260,11,6,14,0,160,25,40,20,27
얼 그레이 바닐라 티 라떼,Earl Grey Vanilla Tea Latte,"2가지 티(블랙티, 얼 그레이 티)가 조화롭고 얼 그레이 폼과 바닐라의 풍미가 은은하게 퍼져 깔끔하고 부드러운 티 라떼 음료",Tall(톨) /355ml,290,13,7,17,0,105,22,55,25,28
의암호의 보랏빛 라벤더 티 라떼,Uiamho's Purple Lavender Tea Latte,춘천의암호의 낭만적인 밤하늘의 보랏빛을 표현한 음료로 차분한 느낌의 라벤더를 활용하여 릴렉스 할 수 있는 티 라떼 음료,,315,8,5,11,0,100,35,70,20,48
인절미 제주 말차 라떼,Injeolmi Jeju Malcha Latte,제주의 특산물인 말차와 한국의 전통적인 소재인 인절미 가루 (콩가루)를 활용한 음료로 고소한 티 라떼 음료 (제주산:말차),,452,14,14,21,0,240,43,58,35,44
제주 말차 라떼,Jeju Malcha Latte,차광재배한 어린 녹찻잎을 곱게 갈아깊고 진한 말차 본연의 맛과 향을부드럽게 즐길 수 있는 제주 말차 라떼,Tall(톨) /355ml,205,5,9,9,0,130,20,60,25,22
프렌치 바닐라 말차 라떼,French Vanilla Malcha Latte,번트 슈가의 풍미가 더해진 프렌치 바닐라 크림과 말차가 어우러진 음료,Tall(톨) /355ml,380,15,12,21,0,250,35,40,35,36
딸기 콜드폼 초콜릿,Strawberry Cold Foam Chocolate,딸기 풍미 가득한 스타벅스만의 딸기 콜드폼과은은한 초콜릿의 향으로 남녀노소 즐길 수 있는 음료,,255,2,7,3.8,0,110,45,5,10,49
시그니처 핫 초콜릿,Signature Hot Chocolate,깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 초콜릿 음료,Tall(톨) /355ml,410,15,13,22,0,135,39,15,18,41
아이스 시그니처 초콜릿,Iced Signature Chocolate,깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 초콜릿 음료,Tall(톨) /355ml,280,13,8,17,0,100,22,15,16,23
